"08/01/25 17:05:17","I-70_Fri_Aug_1_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/1/2025   11:00:00 AM","8/1/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","12","0.3","74.1","83.0","0","9","2","1","--","--","--","--","75.0","74.8","08/01/25 16:00:00","900","0","0","0","0","0","0","1","0","0","2","1","2","5","0","1","12","0"

"LANE_01","34","1.6","69.3","82.0","0","12","13","9","--","--","--","--","26.5","26.0","08/01/25 16:15:00","900","0","0","0","2","0","2","0","1","3","4","3","2","15","1","1","34","0"
"LANE_02","13","0.4","75.5","92.0","0","10","2","1","--","--","--","--","69.2","69.0","08/01/25 16:15:00","900","0","0","0","1","0","0","0","0","0","2","0","2","5","0","3","13","0"

"LANE_01","35","1.4","73.1","94.0","0","19","8","8","--","--","--","--","25.7","25.3","08/01/25 16:30:00","900","1","0","0","0","1","0","1","0","1","5","5","5","9","1","6","35","0"
"LANE_02","12","0.4","74.9","87.3","1","5","5","1","--","--","--","--","75.0","74.7","08/01/25 16:30:00","900","0","0","1","0","0","0","0","0","0","0","1","2","5","3","0","12","0"

"LANE_01","52","1.9","74.5","88.0","0","24","15","13","--","--","--","--","17.3","17.0","08/01/25 16:45:00","900","0","0","0","0","0","1","1","4","2","3","6","10","14","5","6","52","0"
"LANE_02","23","0.6","76.6","85.5","2","14","6","1","--","--","--","--","39.1","38.9","08/01/25 16:45:00","900","0","0","0","0","3","0","0","0","0","1","1","3","11","4","0","23","0"

"LANE_01","38","1.9","69.3","81.0","0","17","7","14","--","--","--","--","23.7","23.2","08/01/25 17:00:00","900","0","0","0","2","0","0","0","0","4","5","7","9","8","3","0","38","0"
"LANE_02","12","0.3","78.8","82.0","0","10","1","1","--","--","--","--","75.0","74.7","08/01/25 17:00:00","900","0","0","0","0","0","0","0","0","0","1","0","2","8","0","1","12","0"

Total Bins:  25
