"07/17/25 17:23:46","US_6_Thur_July_17_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/17/2025   10:00:00 AM","7/17/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","59","2.4","72.5","80.5","0","23","19","17","--","--","--","--","15.3","14.9","07/17/25 15:30:00","900","0","0","0","0","0","0","0","0","2","3","18","18","15","3","0","59","0"

"LANE_01","94","3.7","68.9","75.3","0","49","24","21","--","--","--","--","9.6","9.2","07/17/25 15:45:00","900","0","0","0","0","0","0","0","2","9","13","31","24","14","0","1","94","0"
"LANE_02","69","2.3","71.8","80.3","0","39","18","12","--","--","--","--","13.0","12.7","07/17/25 15:45:00","900","0","0","0","0","0","0","0","2","2","7","16","19","19","3","1","69","0"

"LANE_01","76","3.3","67.8","77.3","0","35","19","22","--","--","--","--","11.8","11.5","07/17/25 16:00:00","900","0","0","0","0","0","2","3","3","7","8","17","20","16","0","0","76","0"
"LANE_02","72","2.5","73.7","80.5","0","45","13","14","--","--","--","--","12.5","12.2","07/17/25 16:00:00","900","0","0","0","0","0","0","0","1","2","2","15","25","21","6","0","72","0"

"LANE_01","67","2.4","72.6","77.6","0","45","10","12","--","--","--","--","13.4","13.1","07/17/25 16:15:00","900","0","0","0","0","0","0","0","0","1","5","14","23","22","2","0","67","0"
"LANE_02","68","3.0","71.8","79.7","0","42","6","20","--","--","--","--","13.2","12.8","07/17/25 16:15:00","900","0","0","0","0","0","0","0","0","4","6","18","21","17","1","1","68","0"

"LANE_01","70","2.7","69.7","79.0","0","36","21","13","--","--","--","--","12.9","12.5","07/17/25 16:30:00","900","0","0","0","2","0","0","0","6","1","4","16","23","17","1","0","70","0"
"LANE_02","53","2.4","72.9","79.8","0","23","11","19","--","--","--","--","17.0","16.6","07/17/25 16:30:00","900","0","0","0","0","0","0","0","0","0","6","12","18","16","1","0","53","0"

"LANE_01","70","2.6","69.6","77.0","0","35","23","12","--","--","--","--","12.9","12.5","07/17/25 16:45:00","900","0","0","0","0","0","0","0","3","3","17","12","19","12","2","2","70","0"
"LANE_02","64","2.3","72.6","78.0","0","32","19","13","--","--","--","--","14.1","13.7","07/17/25 16:45:00","900","0","0","0","0","0","0","0","0","0","7","15","21","19","1","1","64","0"

"LANE_01","49","2.0","71.4","78.0","0","22","14","13","--","--","--","--","18.4","18.0","07/17/25 17:00:00","900","0","0","0","0","0","0","1","0","2","4","14","13","12","2","1","49","0"
"LANE_02","52","1.9","73.1","80.7","0","25","17","10","--","--","--","--","17.3","17.0","07/17/25 17:00:00","900","0","0","0","0","0","0","0","0","2","8","10","8","19","4","1","52","0"

Total Bins:  29
