"08/08/25 17:49:57","US-191_Fri_Aug_8_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","8/8/2025   10:00:00 AM","8/8/2025   5:15:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_02","8","0.4","-63.3","67.0","0","2","2","2","1","1","--","--","112.5","112.0","08/08/25 15:30:00","900","0","0","0","0","0","0","0","0","2","3","3","0","0","0","0","0","8"

"LANE_01","14","1.6","55.8","65.0","0","2","2","1","3","6","--","--","64.3","63.3","08/08/25 15:45:00","900","0","0","0","0","1","1","5","0","2","3","0","1","0","0","1","14","0"
"LANE_02","32","2.3","-54.7","60.5","0","9","8","2","7","6","--","--","28.1","27.5","08/08/25 15:45:00","900","0","0","0","1","0","2","3","11","9","4","2","0","0","0","0","0","32"

"LANE_01","18","2.2","54.2","59.5","0","0","2","2","6","8","--","--","50.0","48.9","08/08/25 16:00:00","900","0","0","0","0","0","2","4","7","3","1","0","0","0","0","1","18","0"
"LANE_02","17","1.3","-58.4","65.0","0","4","4","0","6","3","--","--","52.9","52.3","08/08/25 16:00:00","900","0","0","0","0","0","0","0","6","6","3","2","0","0","0","0","1","16"

"LANE_01","6","0.5","63.3","73.0","0","0","2","1","1","2","--","--","150.0","149.2","08/08/25 16:15:00","900","0","0","0","0","0","1","1","0","0","0","1","2","0","1","0","6","0"
"LANE_02","23","1.6","-57.1","62.3","0","8","6","1","3","5","--","--","39.1","38.5","08/08/25 16:15:00","900","0","0","0","0","0","0","1","3","13","6","0","0","0","0","0","0","23"

"LANE_01","19","1.6","56.4","67.5","0","1","10","1","1","6","--","--","47.4","46.6","08/08/25 16:30:00","900","0","0","0","0","2","2","0","4","3","1","5","2","0","0","0","19","0"
"LANE_02","14","0.9","-62.8","70.0","0","4","6","0","0","4","--","--","64.3","63.7","08/08/25 16:30:00","900","0","0","0","0","0","0","1","1","4","2","4","2","0","0","0","0","14"

"LANE_01","14","1.1","60.7","73.0","0","5","2","1","2","4","--","--","64.3","63.6","08/08/25 16:45:00","900","0","0","0","0","0","2","3","0","1","2","1","3","1","1","0","14","0"
"LANE_02","22","1.4","-61.1","64.8","0","3","11","1","3","4","--","--","40.9","40.3","08/08/25 16:45:00","900","0","0","0","0","0","0","0","1","7","12","0","1","1","0","0","0","22"

"LANE_01","12","1.3","55.3","64.0","0","1","4","0","2","5","--","--","75.0","74.0","08/08/25 17:00:00","900","0","0","0","0","0","1","4","2","2","1","1","0","1","0","0","12","0"
"LANE_02","13","0.6","-61.1","66.0","0","5","5","0","3","0","--","--","69.2","68.8","08/08/25 17:00:00","900","0","0","0","0","0","0","0","0","6","2","5","0","0","0","0","0","13"

"LANE_01","11","1.0","57.4","68.0","0","2","5","2","1","1","--","--","81.8","81.0","08/08/25 17:15:00","900","1","0","0","0","0","0","1","1","2","3","1","1","1","0","0","11","0"
"LANE_02","19","1.2","-59.5","64.0","0","5","7","1","5","1","--","--","47.4","46.8","08/08/25 17:15:00","900","0","0","0","0","0","0","0","4","5","7","3","0","0","0","0","0","19"

Total Bins:  29
