"07/18/25 16:54:40","US_6_Fri_July_18_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/18/2025   10:00:00 AM","7/18/2025   4:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","90","2.9","73.1","79.8","0","54","25","11","--","--","--","--","10.0","9.7","07/18/25 14:00:00","900","0","0","0","0","0","0","0","1","0","5","26","29","25","2","2","90","0"

"LANE_01","58","2.1","71.6","78.7","0","30","14","14","--","--","--","--","15.5","15.2","07/18/25 14:15:00","900","0","0","0","0","0","1","0","2","4","6","8","18","17","1","1","58","0"
"LANE_02","82","3.2","70.9","76.5","0","48","14","20","--","--","--","--","11.0","10.6","07/18/25 14:15:00","900","0","0","0","0","0","0","0","0","4","6","25","31","15","0","1","82","0"

"LANE_01","81","2.6","73.2","79.5","0","43","28","10","--","--","--","--","11.1","10.8","07/18/25 14:30:00","900","0","0","0","0","0","0","0","0","0","10","12","28","30","1","0","81","0"
"LANE_02","100","3.8","69.2","76.8","0","50","31","19","--","--","--","--","9.0","8.7","07/18/25 14:30:00","900","0","0","0","0","0","0","1","3","4","23","27","18","21","2","1","100","0"

"LANE_01","94","3.6","69.7","77.5","0","48","26","20","--","--","--","--","9.6","9.2","07/18/25 14:45:00","900","0","0","0","1","0","1","2","2","5","10","21","26","23","2","1","94","0"
"LANE_02","68","2.4","72.4","79.5","0","34","24","10","--","--","--","--","13.2","12.9","07/18/25 14:45:00","900","0","0","0","0","0","0","0","0","2","11","14","18","20","2","1","68","0"

"LANE_01","73","2.6","72.0","79.8","1","35","20","17","--","--","--","--","12.3","12.0","07/18/25 15:00:00","900","0","0","1","0","0","0","0","0","2","7","12","26","24","1","0","73","0"
"LANE_02","78","3.0","70.0","78.6","0","40","22","16","--","--","--","--","11.5","11.2","07/18/25 15:00:00","900","0","0","0","0","0","0","1","3","8","9","14","21","19","2","1","78","0"

"LANE_01","95","3.3","70.9","79.3","0","53","26","16","--","--","--","--","9.5","9.2","07/18/25 15:15:00","900","0","0","0","0","0","0","2","2","3","16","20","18","32","1","1","95","0"
"LANE_02","80","2.9","74.1","80.4","0","45","16","19","--","--","--","--","11.3","10.9","07/18/25 15:15:00","900","0","0","0","0","0","0","0","0","0","5","15","27","30","3","0","80","0"

"LANE_01","69","2.7","69.5","78.5","0","37","19","13","--","--","--","--","13.0","12.7","07/18/25 15:30:00","900","0","0","0","0","0","0","1","3","5","11","11","18","19","1","0","69","0"
"LANE_02","76","2.9","72.8","79.5","0","42","15","19","--","--","--","--","11.8","11.5","07/18/25 15:30:00","900","0","0","0","0","0","0","0","0","0","5","19","29","21","2","0","76","0"

"LANE_01","84","2.7","70.8","79.0","1","43","30","10","--","--","--","--","10.7","10.4","07/18/25 15:45:00","900","0","0","0","0","2","0","0","3","1","11","18","27","22","0","0","84","0"
"LANE_02","59","2.1","73.6","80.0","0","33","16","10","--","--","--","--","15.3","14.9","07/18/25 15:45:00","900","0","0","0","0","0","0","0","1","0","5","10","20","19","4","0","59","0"

"LANE_01","73","3.1","69.7","78.0","0","31","19","23","--","--","--","--","12.3","12.0","07/18/25 16:00:00","900","0","0","0","0","0","0","1","1","5","14","15","19","17","1","0","73","0"
"LANE_02","71","2.9","72.4","77.5","0","39","12","20","--","--","--","--","12.7","12.3","07/18/25 16:00:00","900","0","0","0","0","0","0","0","0","0","4","19","29","18","1","0","71","0"

"LANE_01","49","1.8","68.9","76.5","1","29","11","8","--","--","--","--","18.4","18.0","07/18/25 16:15:00","900","0","1","0","0","0","0","1","0","1","6","15","14","11","0","0","49","0"
"LANE_02","79","2.6","72.6","80.0","0","45","21","13","--","--","--","--","11.4","11.1","07/18/25 16:15:00","900","0","0","0","0","0","0","0","0","2","6","23","23","21","3","1","79","0"

"LANE_01","72","2.4","71.1","77.0","0","43","20","9","--","--","--","--","12.5","12.2","07/18/25 16:30:00","900","0","0","0","0","0","0","0","0","0","11","20","26","15","0","0","72","0"
"LANE_02","84","3.1","73.2","78.5","0","49","15","20","--","--","--","--","10.7","10.4","07/18/25 16:30:00","900","0","0","0","0","0","0","0","0","0","3","22","31","26","1","1","84","0"

"LANE_01","67","2.7","68.2","77.0","0","38","14","15","--","--","--","--","13.4","13.1","07/18/25 16:45:00","900","0","0","0","0","0","0","0","3","8","13","14","16","13","0","0","67","0"
"LANE_02","85","3.8","68.2","79.3","1","39","21","24","--","--","--","--","10.6","10.2","07/18/25 16:45:00","900","1","0","0","0","0","0","1","2","15","11","12","23","18","2","0","85","0"

Total Bins:  28
