"site","unit","date","time","speed_85","strip_spacing"
"us6","w2",2025-07-15,2025-07-15 17:00:00,70,"35"
"us6","w1",2025-07-16,2025-07-16 10:15:00,76,"0"
"us6","w1",2025-07-16,2025-07-16 10:30:00,80,"0"
"us6","w1",2025-07-16,2025-07-16 10:45:00,76,"0"
"us6","w1",2025-07-16,2025-07-16 11:00:00,77,"0"
"us6","w1",2025-07-16,2025-07-16 11:15:00,77,"0"
"us6","w1",2025-07-16,2025-07-16 11:30:00,74.5,"0"
"us6","w1",2025-07-16,2025-07-16 11:45:00,74.5,"0"
"us6","w1",2025-07-16,2025-07-16 12:00:00,77.3,"0"
"us6","w1",2025-07-16,2025-07-16 12:15:00,77,"0"
"us6","w1",2025-07-16,2025-07-16 12:30:00,79.7,"0"
"us6","w1",2025-07-16,2025-07-16 12:45:00,79.5,"0"
"us6","w1",2025-07-16,2025-07-16 13:00:00,78.7,"0"
"us6","w1",2025-07-16,2025-07-16 13:15:00,75.7,"0"
"us6","w1",2025-07-16,2025-07-16 13:30:00,78.5,"0"
"us6","w1",2025-07-16,2025-07-16 13:45:00,77.4,"0"
"us6","w1",2025-07-16,2025-07-16 14:00:00,74,"0"
"us6","w1",2025-07-16,2025-07-16 14:15:00,74,"0"
"us6","w1",2025-07-16,2025-07-16 14:30:00,77,"0"
"us6","w1",2025-07-16,2025-07-16 14:45:00,77.5,"0"
"us6","w1",2025-07-16,2025-07-16 15:00:00,78.5,"0"
"us6","w1",2025-07-16,2025-07-16 15:15:00,76,"0"
"us6","w1",2025-07-16,2025-07-16 15:30:00,75.8,"0"
"us6","w1",2025-07-16,2025-07-16 15:45:00,78,"0"
"us6","w1",2025-07-16,2025-07-16 16:00:00,75.5,"0"
"us6","w1",2025-07-16,2025-07-16 16:15:00,81,"0"
"us6","w1",2025-07-16,2025-07-16 16:30:00,78,"0"
"us6","w1",2025-07-16,2025-07-16 16:45:00,78.5,"0"
"us6","w1",2025-07-16,2025-07-16 17:00:00,75.3,"0"
"us6","w2",2025-07-16,2025-07-16 10:00:00,72,"0"
"us6","w2",2025-07-16,2025-07-16 10:30:00,75.7,"0"
"us6","w2",2025-07-16,2025-07-16 10:45:00,71.5,"0"
"us6","w2",2025-07-16,2025-07-16 11:00:00,75,"0"
"us6","w2",2025-07-16,2025-07-16 11:15:00,77.3,"0"
"us6","w2",2025-07-16,2025-07-16 11:30:00,73.3,"0"
"us6","w2",2025-07-16,2025-07-16 11:45:00,72.5,"0"
"us6","w2",2025-07-16,2025-07-16 12:00:00,73,"0"
"us6","w2",2025-07-16,2025-07-16 12:15:00,78.4,"0"
"us6","w2",2025-07-16,2025-07-16 12:30:00,74,"0"
"us6","w2",2025-07-16,2025-07-16 12:45:00,76.5,"0"
"us6","w2",2025-07-16,2025-07-16 13:00:00,75.3,"0"
"us6","w2",2025-07-16,2025-07-16 13:15:00,77,"0"
"us6","w2",2025-07-16,2025-07-16 13:30:00,75.7,"0"
"us6","w2",2025-07-16,2025-07-16 13:45:00,75.7,"0"
"us6","w2",2025-07-16,2025-07-16 14:00:00,74,"0"
"us6","w2",2025-07-16,2025-07-16 14:15:00,73,"0"
"us6","w2",2025-07-16,2025-07-16 14:30:00,75.3,"0"
"us6","w2",2025-07-16,2025-07-16 14:45:00,74,"0"
"us6","w2",2025-07-16,2025-07-16 15:00:00,74,"0"
"us6","w2",2025-07-16,2025-07-16 15:15:00,75.7,"0"
"us6","w2",2025-07-16,2025-07-16 15:30:00,75.7,"0"
"us6","w2",2025-07-16,2025-07-16 15:45:00,75.8,"0"
"us6","w2",2025-07-16,2025-07-16 16:00:00,75.5,"0"
"us6","w2",2025-07-16,2025-07-16 16:15:00,78.1,"0"
"us6","w2",2025-07-16,2025-07-16 16:30:00,79.6,"0"
"us6","w2",2025-07-16,2025-07-16 16:45:00,77,"0"
"us6","w2",2025-07-16,2025-07-16 17:00:00,75.5,"0"
"us6","w1",2025-07-17,2025-07-17 10:00:00,78.3,"45"
"us6","w1",2025-07-17,2025-07-17 10:15:00,74,"45"
"us6","w1",2025-07-17,2025-07-17 10:30:00,78.8,"45"
"us6","w1",2025-07-17,2025-07-17 10:45:00,77.5,"45"
"us6","w1",2025-07-17,2025-07-17 11:00:00,80,"45"
"us6","w1",2025-07-17,2025-07-17 11:15:00,78.5,"45"
"us6","w1",2025-07-17,2025-07-17 11:30:00,75.3,"45"
"us6","w1",2025-07-17,2025-07-17 11:45:00,78.5,"45"
"us6","w1",2025-07-17,2025-07-17 12:00:00,74.6,"45"
"us6","w1",2025-07-17,2025-07-17 12:15:00,81,"45"
"us6","w1",2025-07-17,2025-07-17 12:30:00,79.3,"45"
"us6","w1",2025-07-17,2025-07-17 12:45:00,77,"45"
"us6","w1",2025-07-17,2025-07-17 13:00:00,75.7,"45"
"us6","w1",2025-07-17,2025-07-17 13:15:00,77,"45"
"us6","w1",2025-07-17,2025-07-17 13:30:00,73.8,"45"
"us6","w1",2025-07-17,2025-07-17 13:45:00,74.5,"45"
"us6","w1",2025-07-17,2025-07-17 14:00:00,77,"45"
"us6","w1",2025-07-17,2025-07-17 14:15:00,80,"45"
"us6","w1",2025-07-17,2025-07-17 14:30:00,77.7,"45"
"us6","w1",2025-07-17,2025-07-17 14:45:00,76.7,"45"
"us6","w1",2025-07-17,2025-07-17 15:00:00,79,"45"
"us6","w1",2025-07-17,2025-07-17 15:15:00,78.9,"45"
"us6","w1",2025-07-17,2025-07-17 15:30:00,74.8,"45"
"us6","w1",2025-07-17,2025-07-17 15:45:00,75.3,"45"
"us6","w1",2025-07-17,2025-07-17 16:00:00,77.3,"45"
"us6","w1",2025-07-17,2025-07-17 16:15:00,77.6,"45"
"us6","w1",2025-07-17,2025-07-17 16:30:00,79,"45"
"us6","w1",2025-07-17,2025-07-17 16:45:00,77,"45"
