15:45:16:300, k
15:45:37:100, k
15:45:51:800, j
15:45:54:700, j
15:46:56:700, k
15:47:00:200, k
15:47:29:400, j
15:47:43:000, j
15:48:05:600, b
15:48:05:900, j
15:50:17:200, k
15:53:34:400, j
15:53:44:800, k
15:54:17:700, j
15:57:47:300, j
15:57:59:700, k
15:58:02:900, j
15:58:43:500, b
15:58:43:900, j
15:58:56:200, b
15:58:56:700, j
15:59:17:400, k
15:59:35:800, j
15:59:37:900, j
16:01:44:300, k
16:01:55:900, j
16:02:01:200, j
16:02:08:600, b
16:02:09:100, k
16:02:10:700, b
16:02:11:200, j
16:02:14:100, k
16:02:18:200, k
16:02:22:100, k
16:02:23:500, k
16:02:25:400, j
16:05:23:500, j
16:05:54:100, k
16:06:02:000, b
16:06:02:500, k
16:08:22:500, j
16:12:28:400, k
16:16:26:300, j
16:16:36:200, k
16:18:49:400, k
16:18:53:200, j
16:18:55:800, j
16:18:57:200, k
16:19:13:700, k
16:19:20:400, k
16:19:36:700, k
16:19:40:400, k
16:19:42:400, j
16:19:44:600, j
16:21:08:500, j
16:31:41:600, k
16:31:45:700, k
16:32:05:500, b
16:32:05:900, k
16:37:19:500, j
16:37:34:600, j
16:37:39:100, j
16:38:36:000, j
16:38:57:700, k
16:39:23:300, k
16:39:29:700, k
16:39:40:700, k
16:40:02:500, k
16:40:10:800, k
16:40:13:500, j
16:41:41:600, j
16:44:58:500, j
16:52:09:700, j
16:52:13:200, j
16:53:06:800, k
16:53:24:300, k
16:54:54:600, k
16:55:48:000, k
16:56:21:200, k
16:58:34:400, j
16:59:04:900, j
17:00:11:300, k
17:00:20:800, b
17:00:21:400, j
17:01:21:300, k
17:02:26:900, k
17:02:56:800, b
17:02:57:300, j
17:04:16:400, k
17:04:46:900, b
17:04:47:400, k
17:06:58:700, j
17:11:56:900, k
17:12:22:100, t
